country_code,country_name,uner_total,uner_total_year,uner_female,uner_female_year,uner_male,uner_male_year
ABW,Aruba,1.75539994239807,2014,3.65621995925903,2000.0,2.93364000320435,2000.0
AFG,Afghanistan,68.7715530395508,1993,84.3729705810547,1993.0,53.772289276123,1993.0
AGO,Angola,36.7621509877511,2023,36.933521943748,2023.0,36.5920483932685,2023.0
ALB,Albania,0.487619996070862,2024,13.828426733509,2023.0,7.91850024165034,2023.0
AND,Andorra,2.41476988792419,2024,2.93833994865417,2024.0,1.90875005722046,2024.0
ARE,United Arab Emirates,0.0038698924709,2024,0.119464706220206,2023.0,0.23274182911305,2023.0
ARG,Argentina,0.734622127960727,2023,3.47385001182556,1991.0,4.83440017700195,1991.0
ARM,Armenia,1.08414540949338,2024,5.09359863856526,2023.0,2.04884405618032,2023.0
ATG,Antigua and Barbuda,1.71101264042263,2023,1.34468848050202,2014.0,0.981889591970325,2014.0
AUS,Australia,0.124310001730919,2024,0.100450001657009,2023.0,0.308519989252091,2023.0
AUT,Austria,1.42958998680115,2024,1.47381997108459,2024.0,1.3879599571228,2024.0
AZE,Azerbaijan,0.026582628252437,2024,0.0301647891257797,2024.0,0.0234109411528075,2024.0
BDI,Burundi,26.4652690887451,2025,24.8940601348877,2025.0,28.0202293395996,2025.0
BEL,Belgium,1.65828001499176,2023,1.68255996704102,2023.0,1.63508999347687,2023.0
BEN,Benin,9.61021041870117,2022,12.4441299438477,2022.0,6.84968996047974,2022.0
BFA,Burkina Faso,34.2876639696398,2024,33.7118634021514,2024.0,34.8458804017651,2024.0
BGD,Bangladesh,5.86219598592343,2024,2.3876316190152,2018.0,4.28901748389756,2018.0
BGR,Bulgaria,5.9025502204895,2024,5.79655981063843,2024.0,6.00300979614258,2024.0
BHR,Bahrain,4.74693069306931,2024,4.05020703933747,2024.0,5.41551547511874,2024.0
BHS,"Bahamas, The",15.8760387811634,2024,16.2634125815275,2024.0,15.4982559332467,2024.0
BIH,Bosnia and Herzegovina,2.0972900390625,2023,1.0939199924469,2023.0,3.03248000144958,2023.0
BLR,Belarus,4.49176546006799,2024,5.47875570750579,2024.0,3.56335846853022,2024.0
BLZ,Belize,10.6771001746104,2024,10.2300322310036,2024.0,11.1036225779276,2024.0
BMU,Bermuda,3.41018009185791,2012,1.98070001602173,2012.0,4.69248008728027,2012.0
BOL,Bolivia,9.25127029418945,2024,9.26768970489502,2024.0,9.2354097366333,2024.0
BRA,Brazil,2.18720006942749,2024,1.82460999488831,2024.0,2.53200006484985,2024.0
BRB,Barbados,17.5962132125952,2024,17.3571876961708,2024.0,17.8274954444219,2024.0
BRN,Brunei Darussalam,3.61188556501645,2024,3.43781068494584,2024.0,3.77258235919235,2024.0
BTN,Bhutan,10.4979156031962,2024,6.61323179664004,2024.0,14.0771212749757,2024.0
BWA,Botswana,0.535068806191338,2022,11.4417172313479,2014.0,12.4284306994239,2014.0
CAF,Central African Republic,37.8948516845703,2012,44.4156303405762,2012.0,31.5010604858398,2012.0
CAN,Canada,4.98995018005371,2023,4.89487981796265,2023.0,5.08008003234863,2023.0
CHE,Switzerland,0.143020004034042,2024,0.131579995155335,2024.0,0.153840005397797,2024.0
CHL,Chile,2.12127995491028,2024,2.97742009162903,2024.0,1.29645001888275,2024.0
CHN,China,6.67631006240845,1997,6.62691020965576,1997.0,6.72150993347168,1997.0
CIV,Côte d’Ivoire,12.6030704782369,2024,13.2049176384352,2024.0,12.0129117975106,2024.0
CMR,Cameroon,3.76170992851257,2024,12.2510299682617,2019.0,2.69970989227295,2019.0
COD,"Congo, Dem. Rep.",65.3457717895508,1999,66.3077392578125,1999.0,64.3867492675781,1999.0
COG,"Congo, Rep.",17.0770797729492,2023,16.9146499633789,2023.0,17.2367095947266,2023.0
COL,Colombia,7.32453012466431,2022,6.78859996795654,2022.0,7.83769989013672,2022.0
COM,Comoros,20.6474464892789,2024,20.524563665403,2024.0,20.7671684883481,2024.0
CPV,Cabo Verde,41.8359960270029,2022,51.2549904530463,2022.0,32.9683618773696,2022.0
CRI,Costa Rica,4.48607015609741,2024,4.83740997314453,2024.0,4.14777994155884,2024.0
CUB,Cuba,4.68415541703853,2024,4.27598988262446,2024.0,5.06443897234296,2024.0
CUW,Curaçao,27.8896102905273,2024,26.0737209320068,2024.0,29.6387805938721,2024.0
CYM,Cayman Islands,5.16898608349901,2024,4.06181015452539,2024.0,6.27763041556145,2024.0
CYP,Cyprus,0.425049990415573,2023,0.34935000538826,2017.0,2.08922004699707,2017.0
CZE,Czechia,0.809080004692078,2023,0.797070026397705,2023.0,0.820519983768463,2023.0
DEU,Germany,0.273900002241135,2024,1.51938998699188,2022.0,2.28859996795654,2022.0
DMA,Dominica,3.95188999176025,2023,5.94502019882202,2023.0,1.95876002311706,2023.0
DNK,Denmark,0.892870008945465,2024,0.785730004310608,2024.0,0.994620025157928,2024.0
